id,d1,end_state1,hispanic,race,racethn,nativity,racethn2,acarot,aca,q1rot,q1,endq1,q2rot,q2rot2,q2a,q2b,q2c,q2d,q2e,q2f,q2g,endq2,q3,q27,q4rot,q4,q5rot,q5,q6,q7rot,q7rot2,q7a,q7b,q8,q9rot,q9,q10rot,q10a,q10b,q10c,endq10,q16,q17rot,q17,q18rot,q18a,q18b,q18c,q18e,q18f,q18g,q18h,q18i,q18j,q11rot,q11,q12rot,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q12i,q13rot,q13,q14rot,q14,q15,q19_q20rot,q19,q20,q21,q22,endq22,age,age2,recage,recage2,recage3,recage4,recage5,child,marital,rvote,voted,voted2rot,voted2,voted2ot,inclosstotal,employ,recemploy,essential,hcworker2,hcworker3,coverage,agecov,covtype,agecovtype,covselfother,q23,q23ot1,q23ot2,q23ot3,q23ot4,rsex,gendervar,lgbt,q24,delayedcare,test1,q25,test3,q26,chroniccovid,partyrot,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,cell,hhcell,landline,curlangx,hhadults,int,length,cstate,cregion,density,dtype,dialtype,dialmode,sample,userdata,exchangstat,exchangstat2,stateexpmedi,gvnrexpmedi,reprostat,waiver,qctr,xctr,wt1,weight,standwt,weight_ssrs,lang,Division,changesex,iphoneuse,hphoneuse,cdc2013,cdc2013USR,SAMPLE_TYPE,state1,state,USR
00000013,Male,789,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Somewhat unfavorable,"04,01",Repeal the entire law,121, ,oppose/favor,Favor,Favor,Favor,Oppose,Oppose,Favor,Favor,119,No,Not do it at all,"02,01",Do you not think the coronavirus is or will be a major problem in the U.S.?,"03,01",Generally exaggerated,They or a family member has already gotten sick from coronavirus (Vol.),"02,01",not enough/too many,About the right amount,About the right amount,Some of the time,part of everyone's responsibility/personal choice,Wearing a mask is a personal choice, ,Yes,No,No,182,Definitely not get it, , ,"05,07,09,02,01,06,03,08,04",Major reason,Not a reason,Major reason,Major reason,Minor reason,Major reason,Minor reason,Not a reason,Minor reason,everyone's responsibility/personal choice,Getting vaccinated is a personal choice,"05,07,09,02,01,06,03,08,04",A great deal,A great deal,Not much,A great deal,Not at all,Not much,A great deal,Not much,Not much,slowly/quickly,Too quickly,making a profit/working for the good of the public,Mostly interested in making a profit,Sometime in 2022 or later,Q20/Q19,Not too confident,Very confident, , ,367,20, ,18-64,18-29,18-24,18-39,18-29,No,Never been married,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,Yes,Unemployed and currently seeking employment,UNEMPLOYED, ,No, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your parents/mother/father (VOL.),Plan through parents/mother/father (Vol), , , , , , ,Male,MALE,No,No,No,Yes,No,No, ,No one in household has serious health condition,"2,1",Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Moderate,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K, , ,"No, no home telephone",English,2,Yes,1159,Alaska,West,Lowest,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,Federally facilitated,Federal or state with federal platform,Yes,Yes - Republican Governor, ,No,104,0,.5602,7.7095,.3392,.5685,English,AK/HI,sex = rsex,CPO,CPO HH,3,"Suburban (CDC=2,3)",CELL KFF PS,ALASKA,1,Rural
00000020,Male,1148,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Somewhat unfavorable,"01,04",Build on what the law does,147, ,favor/oppose,Favor,Favor,Oppose,Favor,Favor,Favor,Favor,128,No,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"01,03",Generally underestimated,Somewhat worried,"01,02",too many/not enough,Too many,Not enough,Never,personal choice/part of everyone's responsibility,Wearing a mask is a personal choice, ,No,Yes,No,285,Probably not get it,"1,3",Wait until it has been available for a while to see how it is working for other people,"04,02,08,03,06,09,05,07,01",Major reason,Minor reason,Minor reason,Major reason,Minor reason,Major reason,Major reason,Major reason,Major reason,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"04,02,08,03,06,09,05,07,01",A great deal,Not much,Not much,A fair amount,Not at all,Not much,Not much,Don't know,Not much,quickly/slowly,About right,working for the good of the public/making a profit,Mostly interested in making a profit,By the summer of 2021,Q19/Q20,Somewhat confident,Somewhat confident, , ,588,60, ,18-64,50-64,55-64,60-69,45-64,No,Divorced,No, , , , ,No,Employed full-time,EMPLOYED,Yes,No, ,Covered by health insurance,INSURED LESS THAN 65,MEDICAID,Medicaid/State-specific Medicaid name, , , , , , ,Male,MALE,No,No,No,Yes,No,No, ,No one in household has serious health condition,"1,2",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1615,Montana,West,Lowest,Outbound,Automatic,Preview (Landline sample we want the script to issue the dial command) For PS LL,landline,KFF prescreened,Federally facilitated,Federal or state with federal platform,Yes,Yes - Democratic/Independent, ,No,88,3,.4406,8.9926,.3957,.6631,English,Mountain,sex = rsex,Dual,Dual HH,6,Rural (CDC=4-6),LL KFF PS,MONTANA,1,Rural
00000024,Male,901,Yes,White,HISPANIC,U.S.,HISPANIC - BORN IN US,"1,4",Very unfavorable,"01,04",Scale back what the law does,92, ,favor/oppose,Oppose,Favor,Favor,Oppose,Favor,Favor,Favor,144,No,More than 6 months or until there is a vaccine widely available,"01,02",Option A: The worst is behind us,"01,03",Generally correct,Very worried,"01,02",too many/not enough,Too many,Too many,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"02,01,03",Yes,Yes,No,280,Probably get it,"1,3",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"09,07,08,03,04,01,02,05,06",A great deal,A fair amount,A fair amount,A fair amount,Not much,Not much,Not much,A great deal,A fair amount,quickly/slowly,Too slowly,working for the good of the public/making a profit,Mostly interested in making a profit,Early in 2021,Q19/Q20,Somewhat confident,Somewhat confident, ,Very confident,385,52, ,18-64,50-64,45-54,40-59,45-64,Yes,Married,Yes,"Yes, voted",Donald Trump/Joe Biden,Donald Trump, ,Yes,Employed full-time,EMPLOYED,Yes,No, ,Covered by health insurance,INSURED LESS THAN 65,Plan you purchased yourself,Self-purchased plan, ,Don't know, , , , ,Male,MALE,No,Yes,No,No, ,Yes,Yes,No one in household has serious health condition,"1,2",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+, , ,"Yes, has a home telephone",English,2,Yes,1442,North Carolina,South,2,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,81,1,.9004,8.6933,.3825,.641,English,South Atlantic,sex = rsex,Dual,Dual HH,5,Rural (CDC=4-6),CELL KFF PS,NORTH CAROLINA,1,Rural
00000041,Male,685,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Somewhat unfavorable,"04,01",Build on what the law does,100, ,favor/oppose,Oppose,Oppose,Don't know,Oppose,Favor,Favor,Favor,130,No,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"03,01",Generally correct,Not too worried,"01,02",too many/not enough,About the right amount,About the right amount,Most of the time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,01,02",Yes,No,No,181,Definitely get it,"3,1",Get the vaccine as soon as you can, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"03,07,08,09,01,06,04,05,02",Not much,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the end of 2021,Q19/Q20,Somewhat confident,Very confident, , ,274,50, ,18-64,50-64,45-54,40-59,45-64,No,Never been married,Yes,"Yes, voted",Donald Trump/Joe Biden,Joe Biden, ,Yes,Employed full-time,EMPLOYED,Yes,No, ,Covered by health insurance,INSURED LESS THAN 65,Medicare,Medicare, , , , , , ,Male,MALE,No,Yes,No,Yes,No,No, ,"Yes, respondent","1,2",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Moderate,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+, , ,"No, no home telephone",English,1,Yes,1124,Virginia,South,Highest,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,State based Federal platform,Federal or state with federal platform,Yes,Yes - Democratic/Independent, ,No,77,1,1.144,10.603,.4665,.7818,English,South Atlantic,sex = rsex,CPO,CPO HH,1,Urban (CDC=1),CELL KFF PS,VIRGINIA,1,Urban
00000045,Male,656,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Somewhat favorable,"04,01",Build on what the law does,52, ,favor/oppose,Favor,Favor,Favor,Favor,Favor,Favor,Favor,120,No,More than 6 months or until there is a vaccine widely available,"01,02",Option B: The worst is yet to come,"03,01",Generally underestimated,Not too worried,"01,02",too many/not enough,Not enough,Not enough,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,02,01",Yes,No,Yes,180,Definitely get it,"3,1",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,personal choice/everyone's responsibility,Getting vaccinated is part of everyone's responsibility to protect the health of others,"09,03,06,08,04,05,01,02,07",Not at all,Not much,A fair amount,A great deal,Not much,A fair amount,A fair amount,A great deal,A fair amount,quickly/slowly,About right,working for the good of the public/making a profit,Mostly interested in making a profit,By the summer of 2021,Q19/Q20,Somewhat confident,Not too confident, , ,304,56, ,18-64,50-64,55-64,40-59,45-64,No,Married,No, , , , ,Yes,Unemployed and not seeking employment,UNEMPLOYED, ,No, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer,Spouse's employer, , , , , , ,Male,MALE,No,Yes,"Yes, both me and a family member",Yes,Yes,No, ,"Yes, respondent","1,2",Or what?,Independent/don't lean to either party (VOL.),PURE INDEPENDENTS,INDEPENDENT/DON'T LEAN,Refused,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$50,000 to less than $75,000",$40K-$89K, , ,"Yes, has a home telephone",English,3,Yes,1049,Ohio,North Central,2,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,Federally facilitated,Federal or state with federal platform,Yes,Yes - Republican Governor, ,Yes,75,1,.7617,14.705,.647,1.0844,English,East North Central,sex = rsex,Dual,Dual HH,3,"Suburban (CDC=2,3)",CELL KFF PS,OHIO,1,Suburban
00000047,Male,704,No,Other or mixed race,"OTHER, NON-HISPANIC", ,"OTHER, NON-HISPANIC","4,1",Very unfavorable,"04,01",Repeal the entire law,77, ,oppose/favor,Favor,Favor,Favor,Oppose,Favor,Favor,Favor,120,Yes - minor impact,More than 6 months or until there is a vaccine widely available,"02,01",Do you not think the coronavirus is or will be a major problem in the U.S.?,"03,01",Generally correct,Somewhat worried,"02,01",not enough/too many,About the right amount,About the right amount,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,03,02",Yes,No,Yes,228,Definitely get it,"3,1",Wait until it has been available for a while to see how it is working for other people, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"04,06,01,02,03,09,07,08,05",A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the summer of 2021,Q20/Q19,Somewhat confident,Somewhat confident, , ,279,67, ,65+,65+,65+,60-69,65+,No,Married,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,Yes,Employed full-time,EMPLOYED,No,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Male,MALE,No,Yes,No,Yes,Yes,No, ,"Yes, respondent","2,1",Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Conservative,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K, , ,"No, no home telephone",English,2,Yes,1167,Rhode Island,Northeast,4,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,State based,State based,Yes,Yes - Democratic/Independent, ,No,79,0,.6101,7.952,.3499,.5864,English,New England,sex = rsex,CPO,CPO HH,1,Urban (CDC=1),CELL KFF PS,RHODE ISLAND,1,Suburban
00000057,Male,749,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Very unfavorable,"04,01",Repeal the entire law,50, ,favor/oppose,Oppose,Oppose,Favor,Favor,Favor,Favor,Oppose,102,No,More than 6 months or until there is a vaccine widely available,"01,02",Don't know,"03,01",Generally exaggerated,Not too worried,"01,02",too many/not enough,About the right amount,About the right amount,Every time,personal choice/part of everyone's responsibility,Wearing a mask is part of everyone's responsibility to protect the health of others, ,Yes,No,Yes,256,Probably not get it,"3,1","Only get the vaccine if you are required to do so for work, school, or other activities","08,02,06,09,05,03,07,01,04",Not a reason,Major reason,Major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Major reason,personal choice/everyone's responsibility,Getting vaccinated is a personal choice,"08,02,06,09,05,03,07,01,04",A fair amount,A fair amount,Not much,Not at all,Not at all,A great deal,A great deal,A great deal,Not much,quickly/slowly,About right,working for the good of the public/making a profit,Equally interested in working for the public and making a profit,By the end of 2021,Q19/Q20,Somewhat confident,Not too confident, , ,341,72, ,65+,65+,65+,70-74,65+,No,Married,Yes,"Yes, voted",Donald Trump/Joe Biden,Donald Trump, ,Yes,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Male,MALE,No,No,No,No, ,No, ,No one in household has serious health condition,"1,2",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$40,000 to less than $50,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,1256,Texas,South,Highest,Outbound,Automatic,Preview (Landline sample we want the script to issue the dial command) For PS LL,landline,KFF prescreened,Federally facilitated,Federal or state with federal platform,No/Maybe,No/Maybe, ,No,89,2,.4406,4.9234,.2166,.3631,English,West South Central,sex = rsex,Dual,Dual HH,1,Urban (CDC=1),LL KFF PS,TEXAS,1,Suburban
00000060,Female,1001,Yes,Other or mixed race,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"1,4",Somewhat favorable,"01,04",Build on what the law does,108, ,oppose/favor,Favor,Favor,Favor,Favor,Favor,Favor,Favor,134,Yes - major impact,Less than a month,"02,01",Option A: The worst is behind us,"01,03",Generally underestimated,Very worried,"02,01",not enough/too many,About the right amount,Not enough,Most of the time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"03,01,02",Yes,Yes,Yes,317,Definitely get it,"1,3","Only get the vaccine if you are required to do so for work, school, or other activities", , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"08,04,01,02,06,07,09,03,05",Not much,A great deal,Not much,A great deal,A great deal,Not much,Not much,Not much,Not much,slowly/quickly,Too slowly,making a profit/working for the good of the public,Mostly interested in working for the good of the public,By the end of 2020,Q20/Q19,Not too confident,Not too confident, ,Not too confident,442,30, ,18-64,30-49,25-34,18-39,30-44,No,Never been married,No, , , , ,Yes,Employed part-time,EMPLOYED,Yes,No, ,Not covered by health insurance,UNINSURED LESS THAN 65, ,Uninsured <65, ,Don't know, , , , ,Male,MALE,No,No,No,No, ,No, ,No one in household has serious health condition,"2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K, , ,"No, no home telephone",Spanish,3,Yes,1473,California,West,3,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,State based,State based,Yes,Yes - Democratic/Independent, ,No,75,1,1.8936,25.777,1.1342,1.9009,Spanish,Pacific,sex ~= rsex,CPO,CPO HH,3,"Suburban (CDC=2,3)",CELL KFF PS,CALIFORNIA,1,Suburban
00000063,Male,737,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","4,1",Very favorable,"04,01",Build on what the law does,74, ,oppose/favor,Favor,Favor,Favor,Favor,Favor,Favor,Favor,141,No,More than 6 months or until there is a vaccine widely available,"02,01",Option B: The worst is yet to come,"03,01",Generally underestimated,Somewhat worried,"02,01",not enough/too many,About the right amount,Not enough,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others, ,Yes,No,Yes,232,Definitely get it,"3,1",Get the vaccine as soon as you can, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is part of everyone's responsibility to protect the health of others,"08,06,09,04,02,01,03,05,07",Not at all,A fair amount,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A great deal,A fair amount,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the summer of 2021,Q20/Q19,Very confident,Somewhat confident, , ,290,71, ,65+,65+,65+,70-74,65+,No,Married,Yes,"Yes, voted",Joe Biden/Donald Trump,Joe Biden, ,Yes,Retired,RETIRED, ,No, ,Covered by health insurance, ,Medicare, , , , , , , ,Male,MALE,No,Yes,"Yes, me",Yes,Yes,Yes,Yes,"Yes, both respondent and someone else in household","2,1",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+,"Yes, have cell phone", , ,English,2,Yes,1371,Idaho,West,2,Outbound,Automatic,Preview (Landline sample we want the script to issue the dial command) For PS LL,landline,KFF prescreened,State based,State based,Yes,Yes - Republican Governor, ,No,75,0,.4406,4.6432,.2043,.3424,English,Mountain,sex = rsex,Dual,Dual HH,3,"Suburban (CDC=2,3)",LL KFF PS,IDAHO,1,Urban
00000068,Male,933,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","1,4",Very unfavorable,"01,04",Scale back what the law does,113, ,oppose/favor,Favor,Oppose,Favor,Oppose,Oppose,Favor,Oppose,191,No,Between 1 and 3 months,"02,01",Option B: The worst is yet to come,"01,03",Generally underestimated,Not at all worried,"02,01",not enough/too many,Too many,Too many,Every time,part of everyone's responsibility/personal choice,Wearing a mask is part of everyone's responsibility to protect the health of others,"01,02,03",Yes,No,Yes,305,Definitely get it,"1,3",Get the vaccine as soon as you can, , , , , , , , , , ,everyone's responsibility/personal choice,Getting vaccinated is a personal choice,"05,02,04,01,07,03,08,09,06",A great deal,Not at all,Not much,A fair amount,Not at all,Not at all,A fair amount,A great deal,Not at all,slowly/quickly,About right,making a profit/working for the good of the public,Equally interested in working for the public and making a profit,By the end of 2020,Q20/Q19,Very confident,Very confident, , ,324,74, ,65+,65+,65+,70-74,65+,No,Married,Yes,"Yes, voted",Joe Biden/Donald Trump,Donald Trump, ,No,Retired,RETIRED, ,"Yes, someone else in my household works in health care delivery setting",Yes,Covered by health insurance, ,Plan through your spouse's employer, , , , , , , ,Male,MALE,No,Yes,"Yes, me",Yes,Yes,No, ,"Yes, respondent","2,1",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$90,000 to less than $100,000",$90K+, , ,"Yes, has a home telephone",English,3,Yes,1531,California,West,2,Outbound,Manual,Automatic (Cell phone sample) For ANY Cell Any NO phone records,Cell phone,KFF prescreened,State based,State based,Yes,Yes - Democratic/Independent, ,No,85,0,.4486,7.4427,.3275,.5488,English,Pacific,sex = rsex,Dual,Dual HH,3,"Suburban (CDC=2,3)",CELL KFF PS,CALIFORNIA,1,Urban
